"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"1",1158131,"4152781","2017","2021","1964","PRIVATE","20","Scarborough Southwest","131 MINERVA AVE","6","83","2021-12-30","84","Evaluation needs to be conducted in 2 years","18","4","5","5","4","3","5","3","4","4","N/A","4","4","5","4","4","5","4","4","5","N/A","E2032","43.7220603014","-79.2433036928","325466.841","4842265.24"
"2",1158132,"4152780","2017","2021","1964","PRIVATE","20","Scarborough Southwest","121 MINERVA AVE","6","90","2021-12-30","87","Evaluation needs to be conducted in 3 years","18","4","4","5","5","4","5","4","3","4","N/A","4","5","5","4","4","4","4","5","5","N/A","E2032","43.7218512738","-79.2442216236","325392.954","4842241.788"
"3",1158133,"4152779","2017","2021","1968","PRIVATE","20","Scarborough Southwest","3207 KINGSTON RD","5","53","2021-12-30","73","Evaluation needs to be conducted in 2 years","18","3","4","5","4","3","4","3","3","4","N/A","3","3","5","3","4","4","3","4","4","N/A","E2037","43.7293849818","-79.2268912004","326786.54","4843083.157"
"4",1158134,"4155561","2017","2021","1962","TCHC","20","Scarborough Southwest","1 FIRVALLEY CRT","12","115","2021-12-30","71","Evaluation needs to be conducted in 2 years","18","3","3","5","3","3","4","3","4","4","N/A","3","4","5","2","3","4","3","4","4","N/A","E2028","43.7029523574","-79.2810286285","322432.948","4840133.711"
"5",1158135,"4152791","2017","2021","1969","PRIVATE","20","Scarborough Southwest","3161 EGLINTON AVE E","12","166","2021-12-30","67","Evaluation needs to be conducted in 2 years","18","3","4","5","3","2","4","2","3","3","N/A","3","3","5","2","3","4","3","4","4","N/A","E2027","43.7418275772","-79.221378358","327226.052","4844466.914"
"6",1158136,"4152790","2017","2021","1960","PRIVATE","20","Scarborough Southwest","3131 EGLINTON AVE E","7","82","2021-12-30","72","Evaluation needs to be conducted in 2 years","17","4","4","4","3","3","4","N/A","3","4","N/A","3","4","5","3","3","4","4","4","2","N/A","E2027","43.7417156898","-79.2228457117","327107.906","4844454.096"
"7",1158137,"4152784","2017","2021","1967","PRIVATE","20","Scarborough Southwest","40 PARKCREST DR","12","100","2021-12-29","80","Evaluation needs to be conducted in 2 years","18","4","5","5","3","3","4","4","4","4","N/A","3","4","5","4","4","4","4","4","4","N/A","E2027","43.7353054239","-79.2199852938","327340.686","4843742.709"
"8",1158138,"4153625","2017","2021","1996","SOCIAL HOUSING","14","Toronto-Danforth","54 MARIGOLD AVE","4","29","2021-12-28","81","Evaluation needs to be conducted in 2 years","20","4","4","5","5","3","5","3","4","4","3","4","5","5","4","4","4","3","4","4","4","S1441","43.6619961657","-79.3310761018","318408.525","4835574.305"
"9",1158139,"4155564","2017","2021","1970","TCHC","20","Scarborough Southwest","3479 ST CLAIR AVE E","8","94","2021-12-28","58","Evaluation needs to be conducted in 1 year","18","3","3","4","2","2","3","1","2","2","N/A","3","2","2","3","4","4","4","4","N/A","4","E2030","43.7142950675","-79.2692166242","323381.434","4841396.427"
"10",1158140,"4154119","2017","2021","1966","PRIVATE","14","Toronto-Danforth","100 GOWAN AVE","17","121","2021-12-28","87","Evaluation needs to be conducted in 3 years","18","5","5","5","2","4","3","4","4","4","N/A","5","5","5","4","5","5","5","4","4","N/A","S1421","43.6883007663","-79.3508994916","316804.549","4838493.588"
"11",1158141,"4154118","2017","2021","1968","PRIVATE","14","Toronto-Danforth","80 GOWAN AVE","11","88","2021-12-28","90","Evaluation needs to be conducted in 3 years","18","5","5","5","3","4","5","4","4","4","N/A","5","5","5","4","5","5","5","4","4","N/A","S1421","43.6881568082","-79.351627018","316745.93","4838477.495"
"12",1158142,"4156036","2017","2021","1996","SOCIAL HOUSING","14","Toronto-Danforth","17 RENWICK CRES","4","80","2021-12-24","66","Evaluation needs to be conducted in 2 years","16","2","4","5","1","3","2","N/A","5","N/A","4","2","4","3","4","3","4","4","3","N/A","N/A","S1441","43.66049693","-79.336536519","317958.359","4835419.239"
